,lat,lon,start_time,end_time,duration,severity,intensity,gpp_mean,gpp_baseline,gpp_anomaly,event_indices
0,70.875,24.875,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,0.87111837,0.7940383,0.07708007,[536 537]
1,70.875,24.875,2013-05-29,2013-06-14,3,0.3000000000000001,0.10000000000000012,2.8024724,1.2379259,1.5645462,[616 617 618]
2,70.875,24.875,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,1.8751118,1.2864058,0.588706,[668]
3,70.875,25.125,2011-09-02,2011-09-10,2,0.20000000000000007,0.1333333333333333,0.78511727,0.692457,0.09266028,[536 537]
4,70.875,25.125,2013-05-29,2013-06-14,3,0.3000000000000001,0.13333333333333333,2.3594491,1.2013594,1.1580896,[616 617 618]
5,70.875,25.125,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,2.12028,1.240973,0.87930703,[668]
6,70.875,25.375,2011-08-17,2011-08-17,1,0.10000000000000012,0.10000000000000012,1.8300711,1.3774256,0.45264554,[534]
7,70.875,25.375,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,1.2003238,1.0384755,0.16184837,[536 537]
8,70.875,25.375,2013-05-21,2013-06-22,5,0.5000000000000001,0.1333333333333333,2.320026,1.2546992,1.0653267,[615 616 617 618 619]
9,70.875,25.375,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,1.8076736,1.655661,0.15201259,[668]
10,70.875,25.625,2011-08-17,2011-08-17,1,0.10000000000000012,0.10000000000000012,2.2484784,1.6485388,0.5999396,[534]
11,70.875,25.625,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,1.3642461,1.2129785,0.15126765,[536 537]
12,70.875,25.625,2013-05-21,2013-06-22,5,0.5333333333333334,0.1333333333333333,2.420118,1.30026,1.119858,[615 616 617 618 619]
13,70.875,25.625,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,2.326097,2.0308032,0.2952938,[668]
14,70.875,26.375,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,0.7894443,0.7361921,0.05325222,[536 537]
15,70.875,26.375,2013-05-29,2013-06-22,4,0.4000000000000001,0.13333333333333333,2.635851,1.335988,1.2998631,[616 617 618 619]
16,70.875,26.375,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,2.4070578,1.4540088,0.95304894,[668]
17,70.875,26.375,2016-05-20,2016-05-20,1,0.0344827586206896,0.0344827586206896,0.7751376,0.5325955,0.24254209,[753]
18,70.875,27.625,2011-09-02,2011-09-02,1,0.1333333333333333,0.1333333333333333,0.81615275,0.8097453,0.0064074397,[536]
19,70.875,27.625,2013-05-29,2013-06-22,4,0.3560755336617406,0.10000000000000012,2.1937003,1.1359072,1.0577931,[616 617 618 619]
20,70.875,27.625,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,1.5243517,1.2730124,0.25133932,[668]
21,70.875,27.625,2016-05-20,2016-05-20,1,0.04166666666666671,0.04166666666666671,0.7229821,0.49648508,0.22649702,[753]
22,70.875,27.875,2011-09-02,2011-09-02,1,0.1333333333333333,0.1333333333333333,0.9143863,0.93240225,-0.01801598,[536]
23,70.875,27.875,2013-05-29,2013-06-22,4,0.38940886699507393,0.10000000000000012,2.1954615,1.0414126,1.1540492,[616 617 618 619]
24,70.875,27.875,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,1.6849859,1.3726826,0.3123033,[668]
25,70.875,27.875,2016-05-20,2016-05-20,1,0.04347826086956513,0.04347826086956513,0.5489021,0.40506908,0.14383301,[753]
26,70.875,28.125,2011-09-02,2011-09-02,1,0.06666666666666665,0.06666666666666665,1.1036335,1.1164662,-0.012832642,[536]
27,70.875,28.125,2013-05-29,2013-06-22,4,0.38940886699507393,0.10000000000000012,2.1493268,1.0970552,1.0522716,[616 617 618 619]
28,70.875,28.125,2016-05-20,2016-05-20,1,0.04000000000000001,0.04000000000000001,0.6035346,0.41171375,0.19182083,[753]
29,70.875,28.375,2013-05-29,2013-06-22,4,0.4000000000000001,0.10000000000000012,2.2804337,1.0726408,1.2077931,[616 617 618 619]
30,70.875,28.375,2016-05-20,2016-05-28,2,0.06781609195402304,0.0344827586206896,1.0558512,0.5934907,0.46236056,[753 754]
31,70.625,22.625,2009-08-01,2009-08-01,1,0.13333333333333333,0.13333333333333333,3.866626,3.3713517,0.4952743,[440]
32,70.625,22.625,2011-08-17,2011-09-10,4,0.40000000000000013,0.13333333333333333,2.390537,2.0664506,0.32408634,[534 535 536 537]
33,70.625,22.625,2013-05-21,2013-06-06,3,0.33333333333333337,0.1333333333333333,4.677755,1.8376793,2.8400757,[615 616 617]
34,70.625,22.625,2014-07-08,2014-07-16,2,0.23333333333333334,0.13333333333333333,4.676744,3.6070704,1.0696737,[667 668]
35,70.625,22.875,2009-08-01,2009-08-01,1,0.13333333333333333,0.13333333333333333,3.4573412,2.9474254,0.5099158,[440]
36,70.625,22.875,2011-08-17,2011-09-10,4,0.40000000000000013,0.13333333333333333,2.127905,1.7953367,0.33256832,[534 535 536 537]
37,70.625,22.875,2013-05-21,2013-06-06,3,0.33333333333333337,0.1333333333333333,4.4336524,1.522529,2.9111235,[615 616 617]
38,70.625,22.875,2014-07-08,2014-07-16,2,0.23333333333333342,0.1333333333333333,4.322999,3.1404986,1.1825006,[667 668]
39,70.625,23.875,2009-08-01,2009-08-01,1,0.06666666666666678,0.06666666666666678,1.6853307,1.4783257,0.20700502,[440]
40,70.625,23.875,2011-09-02,2011-09-10,2,0.20000000000000012,0.13333333333333333,0.9804139,0.8369238,0.1434901,[536 537]
41,70.625,23.875,2013-05-29,2013-06-06,2,0.22389162561576348,0.13103448275862062,2.9579754,1.266435,1.6915405,[616 617]
42,70.625,23.875,2014-07-08,2014-07-16,2,0.1666666666666669,0.10000000000000012,3.4498425,1.8860961,1.5637463,[667 668]
43,70.625,24.875,2011-09-02,2011-09-10,2,0.20000000000000007,0.1333333333333333,1.0085558,0.9351263,0.073429495,[536 537]
44,70.625,24.875,2013-05-29,2013-06-14,3,0.2977011494252876,0.13103448275862067,2.3236046,1.2094405,1.1141641,[616 617 618]
45,70.625,24.875,2014-07-08,2014-07-16,2,0.1666666666666669,0.10000000000000012,2.7653966,1.8629076,0.9024891,[667 668]
46,70.625,24.875,2016-05-20,2016-05-20,1,0.035714285714285726,0.035714285714285726,1.2521427,0.6583207,0.59382194,[753]
47,70.625,25.125,2011-09-02,2011-09-10,2,0.20000000000000007,0.1333333333333333,0.9377381,0.9002161,0.037522018,[536 537]
48,70.625,25.125,2013-05-29,2013-06-14,3,0.27952928297755875,0.12857142857142856,2.459125,1.1353732,1.3237518,[616 617 618]
49,70.625,25.125,2014-07-08,2014-07-16,2,0.1666666666666669,0.10000000000000012,3.0961745,1.750999,1.3451755,[667 668]
50,70.625,26.125,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,1.0627658,1.0329105,0.02985534,[536 537]
51,70.625,26.125,2013-05-29,2013-06-22,4,0.39770114942528756,0.13103448275862067,2.66555,1.4139683,1.2515818,[616 617 618 619]
52,70.625,26.125,2014-07-08,2014-07-16,2,0.1666666666666669,0.10000000000000012,2.4643974,1.896635,0.5677622,[667 668]
53,70.625,26.125,2016-05-20,2016-05-20,1,0.035714285714285726,0.035714285714285726,1.270635,0.8798977,0.3907373,[753]
54,70.625,26.375,2011-09-02,2011-09-10,2,0.23333333333333345,0.16666666666666666,0.88601553,0.87651694,0.009498626,[536 537]
55,70.625,26.375,2013-05-29,2013-06-22,4,0.3917898193760263,0.12857142857142856,2.3365366,1.1342064,1.2023304,[616 617 618 619]
56,70.625,26.375,2014-07-08,2014-07-16,2,0.1666666666666669,0.10000000000000012,3.4725537,1.8794292,1.5931244,[667 668]
57,70.625,26.375,2016-05-20,2016-05-20,1,0.038461538461538367,0.038461538461538367,0.6306849,0.46104658,0.16963834,[753]
58,70.625,27.375,2011-09-02,2011-09-10,2,0.13333333333333341,0.09999999999999998,1.1184845,1.0118468,0.10663772,[536 537]
59,70.625,27.375,2013-05-29,2013-06-22,4,0.3446696981179739,0.12307692307692306,2.5644922,1.3233427,1.2411498,[616 617 618 619]
60,70.625,27.375,2013-10-28,2013-10-28,1,0.04615384615384607,0.04615384615384607,0.055039804,0.10918447,-0.054144662,[635]
61,70.625,27.375,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,1.8092859,1.6176752,0.1916107,[668]
62,70.625,27.375,2016-05-20,2016-05-20,1,0.04347826086956513,0.04347826086956513,1.0899419,0.58604103,0.5039008,[753]
63,70.625,27.625,2011-09-10,2011-09-10,1,0.03333333333333344,0.03333333333333344,0.97247034,0.75061226,0.22185808,[537]
64,70.625,27.625,2013-05-29,2013-06-22,4,0.3373070607553365,0.12857142857142856,2.1248093,1.0633466,1.0614624,[616 617 618 619]
65,70.625,27.625,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,2.3868256,1.4644,0.9224255,[668]
66,70.625,27.875,2013-05-29,2013-06-22,4,0.37525577870405447,0.12857142857142856,2.67267,1.3410964,1.3315735,[616 617 618 619]
67,70.625,27.875,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,3.1433175,1.9896793,1.1536381,[668]
68,70.625,28.625,2013-05-29,2013-06-06,2,0.17747252747252745,0.09285714285714285,2.3478646,0.8716425,1.476222,[616 617]
69,70.625,28.625,2013-06-22,2013-06-22,1,0.09999999999999999,0.09999999999999999,2.137701,1.6206348,0.51706624,[619]
70,70.625,28.625,2014-07-16,2014-07-16,1,0.10000000000000012,0.10000000000000012,2.945257,1.7327387,1.2125182,[668]
